battery_id,cycle,discharge_capacity,initial_capacity,soh,rul,eol_cycle,mean_voltage,min_voltage,max_voltage,voltage_range,mean_current,max_current,mean_temperature,max_temperature,discharge_duration,ambient_temperature,Re,Rct,battery_impedance,rectified_impedance
B0047,1,1.6743047446975208,1.6743047446975208,100.0,40,41,3.4752664759657903,2.470611866932728,4.246764125510136,1.776152258577408,-0.9527668403077523,1.00110134824347,8.272422519178683,12.376815880696888,6436.141,4.0,0.053191858509211,0.1647339991486473,0.07674382611549534,0.1457141117954322
B0047,2,1.5243662105099025,1.6743047446975208,91.04472858585216,39,41,3.4765588189090355,2.477661652422805,4.186635709569866,1.7089740571470609,-0.9838885014038209,0.9981417400029184,8.210715424489035,11.314903320182369,5650.265,4.0,0.053191858509211,0.1647339991486473,0.07674382611549534,0.1457141117954322
B0047,3,1.5080762969973425,1.6743047446975208,90.07179259172385,38,41,3.4707669643372343,2.4707098734854784,4.199922751479228,1.7292128779937497,-0.9838892612061609,1.0003069695936524,7.954455063989402,11.624528187721143,5590.907,4.0,0.053191858509211,0.1647339991486473,0.07674382611549534,0.1457141117954322
B0047,4,1.4835577960067696,1.6743047446975208,88.60739364832826,37,41,3.4675514337042928,2.465457800547402,4.199568876812779,1.734111076265377,-0.9789465319710104,0.9982799264042614,7.985864710265717,11.0929238810592,5543.61,4.0,0.053191858509211,0.1647339991486473,0.07674382611549534,0.1457141117954322
B0047,5,1.4671391666146525,1.6743047446975208,87.62676993307483,36,41,3.4628386272032645,2.465765118194009,4.1993968014662295,1.7336316832722205,-0.9762620303137102,0.9986834889880236,8.009426990342208,11.020979145558456,5499.046,4.0,0.053191858509211,0.1647339991486473,0.07674382611549534,0.1457141117954322
B0047,6,1.448858156982267,1.6743047446975208,86.53491316743637,35,41,3.4591836330966035,2.4700482803033514,4.198907847432783,1.7288595671294313,-0.9711681299821951,1.0016128378277855,8.033626730077737,11.05909419348262,5461.219,4.0,0.053191858509211,0.1647339991486473,0.07674382611549534,0.1457141117954322
B0047,7,1.4458534180949325,1.6743047446975208,86.35545128053374,34,41,3.440865649757287,2.484128874181115,4.163303236325632,1.6791743621445168,-0.9709334670284248,0.9983585499996894,8.150799939416203,11.877028657628198,5451.281,4.0,0.0551250536162427,0.1754882075917004,0.0431360465875159,0.15418835816938117
B0047,8,1.431118266178283,1.6743047446975208,85.47537541839961,33,41,3.44810227661685,2.483034750266961,4.181797294694067,1.698762544427106,-0.9610547420763002,1.001368895703553,8.230899786348077,11.559250858608888,5468.062,4.0,0.0528128215980842,0.1722515233415132,0.08235532725784366,0.1463949776674644
B0047,9,1.419274551657853,1.6743047446975208,84.76799436617847,32,41,3.4496654644975946,2.49830336362436,4.197837203348764,1.6995338397244044,-0.9582923588349711,1.0008569581108415,8.146945225413083,11.34743713793976,5411.297,4.0,0.0528128215980842,0.1722515233415132,0.08235532725784366,0.1463949776674644
B0047,10,1.3999974221808271,1.6743047446975208,83.61664306420813,31,41,3.4449123724079618,2.49851157426792,4.197777018222757,1.699265443954837,-0.9553719838321842,0.9983176454232487,8.251894856354932,11.693269060729056,5369.703,4.0,0.0528128215980842,0.1722515233415132,0.08235532725784366,0.1463949776674644
